Cluster ID,Score,Name,Gender,DOB,Address,Occupation,Bank Acct
74,1.0,Richard Brown,M,1999-12-06,"970 New Address Rd, Dundalk",Civil Servant,IE94BOFI932086
75,0.98,Linda Brown,M,2004-01-11,"368 Oak Park, Galway",Technician,IE68BOFI922060
75,0.98,Lnda Brown,M,2004-01-11,"946 New Address Rd, Dublin",,IE68BOFI922060
76,0.762,William Gonzalez,M,1970-01-03,"852 Eyre Square, Cork",Farmer,
76,0.762,William Gonzalez,M,1950-08-02,"6 Oak Park, Swords",Builder,
77,0.553,Joseph Anderson,M,1969-08-28,"98 O'Connell St, Limerick",Technician,
77,0.553,Joseph Anderson,M,1981-11-22,"855 High St, Cork",IT Consultant,
78,0.999,Mary Thomas,M,1971-10-31,"195 Griffith Ave, Drogheda",IT Consultant,IE22BOFI918252
78,0.999,Mary Thoas,M,,"195 Griffith Ave, Drogheda",IT Consultant,IE22BOFI918252
79,1.0,James Martinez,M,1994-03-10,"513 Oliver Plunkett St, Drogheda",IT Consultant,IE67BOFI916213
79,1.0,James Martinez,,1994-03-10,"897 New Address Rd, Navan",IT Consultant,IE67BOFI916213
80,0.981,Mary Miller,M,1980-12-05,"862 Oliver Plunkett St, Swords",Driver,IE96BOFI902364
80,0.957,MaryMiller,M,1980-12-05,"862 Oliver Plunkett St, Swords",Driver,IE96BOFI902364
80,0.953,Mayr Miller,M,1980-12-05,"117 New Address Rd, Navan",,IE96BOFI902364
81,1.0,Jennifer Jackson,F,1972-07-24,"591 Dame St, Waterford",Manager,IE75BOFI988109
81,1.0,Jennifer Jackson,F,1972-07-24,"424 New Address Rd, Cork",Manager,IE75BOFI988109
82,1.0,William Davis,M,1974-12-12,"701 Shop St, Dundalk",Accountant,IE77BOFI935269
82,1.0,William Davis,M,1974-12-12,"712 New Address Rd, Limerick",Accountant,IE77BOFI935269
83,0.999,Patricia Lopez,M,1986-01-16,"602 Griffith Ave, Limerick",Accountant,IE80BOFI965498
83,0.998,aPtricia Lopez,M,1986-01-16,"543 New Address Rd, Drogheda",Accountant,IE80BOFI965498
83,0.999,Patricia Lopez,,1986-01-16,"602 Griffith Ave, Limerick",Accountant,IE80BOFI965498
84,0.995,Linda Smith,M,1981-04-07,"408 High St, Bray",Builder,IE14BOFI906006
84,0.995,LindaSmith,,1981-04-07,"408 High St, Bray",,IE14BOFI906006
85,1.0,Elizabeth Thomas,M,1968-07-25,"447 Main St, Galway",Manager,IE41BOFI947042
85,1.0,Elizabeth Thomas,M,1968-07-25,"447 Main St, Galway",Manager,IE41BOFI947042
86,0.996,John Anderson,M,2000-10-08,"71 Oliver Plunkett St, Waterford",Driver,
86,0.996,John Anderso,M,2000-10-08,"71 Oliver Plunkett St, Waterford",Driver,
87,0.999,James Moore,F,1965-02-16,"594 Patrick St, Drogheda",Sales,IE48BOFI916371
87,0.999,ames Moore,F,1965-02-16,"594 Patrick St, Drogheda",Sales,IE48BOFI916371
88,1.0,Susan Hernandez,F,1972-05-23,"161 Griffith Ave, Swords",Technician,IE39BOFI911117
88,0.999,Susa Hernandez,,1972-05-23,"161 Griffith Ave, Swords",Technician,IE39BOFI911117
88,0.999,Susan Hernandez,F,1972-05-23,"136 New Address Rd, Dundalk",Technician,IE39BOFI911117
89,0.885,David Rodriguez,M,1952-08-12,"569 Griffith Ave, Dundalk",Farmer,
89,0.885,Daid Rodriguez,M,1952-08-12,"569 Griffith Ave, Dundalk",,
90,0.569,Aldi Limited,,,"157 Patrick St, Limerick",,IE50BOFI992286
90,0.569,Aldi Limited,,,"519 Dame St, Galway",,IE37BOFI963379
91,0.998,SuperValu PLC,,,"440 High St, Dublin",,IE54BOFI971243
91,0.998,SuperValu PLC,,,"822 New Address Rd, Navan",,IE54BOFI971243
91,0.998,SuperValu PLC,,,"440 High St, Dublin",,IE54BOFI971243
92,0.856,Joseph Lopez,M,1984-06-23,"619 Dame St, Swords",Teacher,IE32BOFI963549
92,0.887,Joseph Lopez,M,1955-07-03,"894 Oliver Plunkett St, Waterford",Manager,IE12BOFI993542
92,0.864,Joseph Lopez,M,1984-06-23,"298 New Address Rd, Cork",Teacher,IE32BOFI963549
92,0.837,Joseph oLpez,M,,"894 Oliver Plunkett St, Waterford",,IE12BOFI993542
93,0.679,Karen Taylor,F,1998-07-27,"911 Grafton St, Dundalk",Director,IE26BOFI908566
93,0.584,Karen Taylor,F,1966-03-19,"464 Henry St, Cork",Admin,
93,0.736,Karen Taylor,,1998-07-27,"911 Grafton St, Dundalk",Director,IE26BOFI908566
94,0.936,David Jones,F,1992-07-11,"699 Griffith Ave, Dundalk",Admin,IE75BOFI968968
94,0.948,David Jones,F,1972-04-11,"119 Oak Park, Navan",Engineer,
94,0.962,David Jones,,1972-04-11,"119 Oak Park, Navan",Engineer,
95,0.932,Elizabeth Brown,F,1986-04-01,"382 Main St, Limerick",Driver,IE81BOFI945341
95,0.932,Elizabeth Brown,F,1986-10-07,"695 Henry St, Swords",Driver,
96,0.997,Thomas Miller,M,1962-08-31,"122 Dame St, Limerick",Admin,IE70BOFI944400
96,0.994,Thomas Mller,M,1962-08-31,"122 Dame St, Limerick",,IE70BOFI944400
96,0.996,Thomas Miller,,,"137 New Address Rd, Limerick",Admin,IE70BOFI944400
96,0.997,Thomas Miller,M,1962-08-31,"122 Dame St, Limerick",Admin,IE70BOFI944400
97,1.0,John Brown,F,1969-01-25,"761 Oak Park, Drogheda",Director,IE24BOFI976092
97,1.0,John Brown,F,1969-01-25,"761 Oak Park, Drogheda",Director,IE24BOFI976092
98,0.999,Lisa Gonzalez,M,1987-09-16,"693 Oliver Plunkett St, Dublin",Doctor,IE46BOFI985916
98,0.998,isa Gonzalez,M,,"532 New Address Rd, Bray",Doctor,IE46BOFI985916
98,0.999,Lisa Gonzalez,M,1987-09-16,"693 Oliver Plunkett St, Dublin",Doctor,IE46BOFI985916
99,0.821,Kingspan Ltd,,,"165 Henry St, Waterford",,IE20BOFI922844
99,0.817,Kingspan Ltd,,,"675 O'Connell St, Drogheda",,IE60BOFI938552
99,0.954,Kingspan Ltd,,,"295 Henry St, Waterford",,
100,0.687,James Gonzalez,F,1964-06-18,"189 Oliver Plunkett St, Limerick",Doctor,IE36BOFI993108
100,0.687,James Gonzalez,F,1973-02-14,"808 Oliver Plunkett St, Bray",Civil Servant,IE33BOFI959804
101,0.511,Thomas Davis,F,1991-11-02,"195 Shop St, Drogheda",Sales,IE43BOFI970713
101,0.511,Thomas Davis,F,1979-05-09,"618 Oak Park, Swords",Technician,
102,1.0,Jennifer Garcia,M,1960-06-28,"80 Griffith Ave, Limerick",Admin,IE58BOFI906927
102,1.0,Jennifer Garcia,M,1960-06-28,"80 Griffith Ave, Limerick",Admin,IE58BOFI906927
103,0.728,Patricia Lopez,F,1994-06-27,"882 Main St, Dublin",Technician,IE53BOFI988945
103,0.927,Patricia Lopez,F,1974-06-01,"116 Main St, Cork",IT Consultant,
103,0.927,Patricia Lopez,F,1974-06-01,"116 Main St, Cork",IT Consultant,
103,0.748,Patricia Loepz,F,1974-06-01,"116 Main St, Cork",IT Consultant,
104,1.0,Patricia Hernandez,M,1971-12-28,"58 Griffith Ave, Waterford",Retiree,IE52BOFI946143
104,1.0,Patricia Hernandez,M,1971-12-28,"58 Griffith Ave, Waterford",Retiree,IE52BOFI946143
105,0.584,Robert Thomas,M,2002-02-21,"851 High St, Limerick",Sales,
105,0.584,Robert Thomas,M,1992-03-28,"452 Shop St, Cork",Engineer,IE27BOFI962094
106,0.75,Patricia Gonzalez,M,1969-03-05,"15 Oliver Plunkett St, Limerick",Driver,IE99BOFI933599
106,0.732,Patricia Gonzalez,M,1978-03-25,"658 Oliver Plunkett St, Cork",Director,IE41BOFI969169
106,0.901,Patricia Gonzalez,M,,"224 New Address Rd, Drogheda",Driver,IE99BOFI933599
107,1.0,David Gonzalez,M,1965-12-15,"599 Grafton St, Navan",Nurse,IE18BOFI934271
107,1.0,David Gonzalez,M,1965-12-15,"598 New Address Rd, Bray",Nurse,IE18BOFI934271
108,0.744,James Smith,M,2000-09-02,"84 Church Rd, Dundalk",Technician,
108,0.744,James Smith,M,2005-01-24,"787 Griffith Ave, Drogheda",Admin,IE95BOFI906324
109,0.593,Robert Martin,M,1978-04-25,"622 Church Rd, Limerick",Director,
109,0.593,Robert Martin,M,1975-10-13,"232 High St, Limerick",Retiree,IE85BOFI951373
110,1.0,John Hernandez,M,1953-04-12,"235 Griffith Ave, Bray",Sales,IE77BOFI911264
110,1.0,John Hernandez,M,1953-04-12,"864 New Address Rd, Waterford",Sales,IE77BOFI911264
111,0.593,David Anderson,M,1983-06-25,"481 Main St, Swords",Doctor,IE44BOFI995873
111,0.593,David Anderson,M,1983-03-18,"734 High St, Limerick",Director,IE64BOFI960166
112,0.624,Elizabeth Anderson,F,1962-07-08,"696 Seaview, Drogheda",Accountant,
112,0.739,Elizabeth Anderson,F,1999-01-17,"120 Dame St, Dublin",Technician,IE93BOFI957328
112,0.739,Elizabeth Anderson,F,1999-01-17,"120 Dame St, Dublin",Technician,IE93BOFI957328
112,0.954,Elizabeth Anderson,F,,"261 New Address Rd, Galway",,IE93BOFI957328
112,0.943,Eliazbeth Anderson,F,,"120 Dame St, Dublin",Technician,IE93BOFI957328
113,0.656,William Hernandez,M,1955-10-24,"165 Oliver Plunkett St, Drogheda",Admin,IE83BOFI960682
113,0.656,William Hernandez,M,1973-04-09,"119 Shop St, Swords",Admin,
114,0.991,David Jones,F,1999-02-12,"139 Grafton St, Bray",Accountant,IE66BOFI983949
114,0.98,David Joens,F,1999-02-12,"139 Grafton St, Bray",,IE66BOFI983949
114,0.98,David Jnoes,F,1999-02-12,"139 Grafton St, Bray",,IE66BOFI983949
115,1.0,Robert Jones,M,1984-05-29,"765 Oliver Plunkett St, Dublin",Sales,IE15BOFI934137
115,1.0,Robert Jones,M,1984-05-29,"765 Oliver Plunkett St, Dublin",Sales,IE15BOFI934137
116,0.58,Sarah Jackson,F,1981-03-29,"945 Oliver Plunkett St, Limerick",Student,IE35BOFI979644
116,0.703,Sarah Jackson,F,1999-04-11,"821 Shop St, Dundalk",IT Consultant,
116,0.703,Sarah Jackson,F,1999-04-11,"821 Shop St, Dundalk",IT Consultant,
117,0.999,Eir Limited,,,"296 Dame St, Navan",,IE93BOFI934771
117,0.999,Eir Limited,,,"296 Dame St, Navan",,IE93BOFI934771
118,0.999,Susan Thomas,M,1961-09-12,"827 Patrick St, Galway",Director,IE91BOFI913256
118,0.999,Susan homas,M,1961-09-12,"827 Patrick St, Galway",Director,IE91BOFI913256
119,0.624,Richard Smith,M,1991-06-16,"934 Main St, Bray",Civil Servant,IE35BOFI957903
119,0.624,Richard Smith,M,1980-08-04,"678 Oak Park, Limerick",Admin,
120,1.0,Jennifer Jackson,F,1967-10-19,"820 High St, Cork",Nurse,IE50BOFI978454
120,1.0,Jennifer Jackson,F,1967-10-19,"820 High St, Cork",Nurse,IE50BOFI978454
121,0.999,John Moore,F,1989-03-04,"666 Church Rd, Limerick",Technician,IE95BOFI998261
121,0.999,John Moore,F,1989-03-04,"666 Church Rd, Limerick",Technician,IE95BOFI998261
121,0.999,John Moroe,F,1989-03-04,"666 Church Rd, Limerick",Technician,IE95BOFI998261
122,1.0,William Hernandez,M,1980-03-03,"206 Patrick St, Navan",Director,IE57BOFI975075
122,1.0,William Hernadnez,M,1980-03-03,"206 Patrick St, Navan",Director,IE57BOFI975075
123,0.568,David Smith,M,1976-05-08,"88 Shop St, Galway",Teacher,IE54BOFI905262
123,0.667,David Smith,M,1951-11-28,"697 Eyre Square, Dundalk",IT Consultant,
123,0.725,David Smith,,1951-11-28,"697 Eyre Square, Dundalk",IT Consultant,
124,0.524,Elizabeth Jones,F,1960-01-14,"791 Main St, Dublin",Driver,IE65BOFI928288
124,0.524,Elizabeth Jones,F,1993-06-29,"973 Seaview, Galway",Builder,IE42BOFI928768
125,0.736,John Martin,M,1969-08-03,"454 Henry St, Dublin",Director,IE37BOFI931647
